Date,Description,Amount,Type
2024-11-15,Monthly Salary,50000,INCOME
2024-11-14,Amazon Purchase,-3500,EXPENSE
2024-11-13,Freelance Project Payment,15000,INCOME
2024-11-12,Electricity Bill,-1200,EXPENSE
2024-11-11,Restaurant Dinner,-850,EXPENSE
2024-11-10,Bonus Payment,10000,INCOME
2024-11-09,Gym Membership,-500,EXPENSE
2024-11-08,Online Shopping,-4200,EXPENSE
2024-11-07,Freelance Gig,8000,INCOME
2024-11-06,Fuel,-600,EXPENSE
2024-11-05,Movie Tickets,-400,EXPENSE
2024-11-04,Insurance Premium,-2500,EXPENSE
2024-11-03,Part-time Income,5000,INCOME
2024-11-02,Groceries,-2800,EXPENSE
2024-11-01,Transfer from Savings,20000,INCOME
2024-10-31,Medical Checkup,-1500,EXPENSE
2024-10-30,Online Course,-3000,EXPENSE
2024-10-29,Vendor Payment,25000,INCOME
2024-10-28,Mobile Recharge,-500,EXPENSE
2024-10-27,Dining Out,-1200,EXPENSE
